TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:12:39.113;2861.169;1
12:12:39.136;2860.551;1
12:12:39.159;2859.191;1
12:12:39.182;2859.191;1
12:12:39.206;2859.191;1
12:12:39.230;2861.292;1
12:12:39.252;2860.798;1
12:12:39.274;2859.067;1
12:12:39.299;2860.551;1
12:12:39.320;2860.551;1
12:12:39.343;2861.539;1
12:12:39.366;2858.944;1
12:12:39.390;2858.944;1
12:12:39.412;2859.809;1
12:12:39.435;2861.787;1
12:12:39.458;2861.787;1
12:12:39.484;2859.191;1
12:12:39.506;2859.562;1
12:12:39.528;2861.663;1
12:12:39.550;2861.663;1
12:12:39.576;2859.686;1
12:12:39.597;2859.686;1
12:12:39.621;2859.315;1
12:12:39.642;2862.034;1
12:12:39.666;2859.562;1
12:12:39.690;2858.82;1
12:12:39.713;2858.82;1
12:12:39.735;2858.82;1
12:12:39.758;2861.416;1
12:12:39.782;2859.933;1
12:12:39.804;2859.315;1
12:12:39.828;2860.303;1
12:12:39.850;2860.303;1
12:12:39.872;2859.809;1
12:12:39.897;2859.809;1
12:12:39.918;2858.449;1
12:12:39.942;2860.303;1
12:12:39.964;2860.921;1
12:12:39.988;2858.944;1
12:12:40.010;2858.944;1
12:12:40.036;2860.674;1
12:12:40.057;2860.798;1
12:12:40.082;2860.798;1
12:12:40.104;2859.809;1
12:12:40.126;2859.686;1
12:12:40.148;2859.686;1
12:12:40.174;2861.045;1
12:12:40.194;2858.82;1
12:12:40.220;2859.686;1
12:12:40.240;2859.686;1
12:12:40.264;2862.405;1
12:12:40.286;2862.405;1
12:12:40.309;2860.056;1
12:12:40.332;2859.809;1
12:12:40.355;2861.91;1
12:12:40.381;2859.315;1
12:12:40.401;2859.315;1
12:12:40.424;2859.315;1
12:12:40.447;2858.202;1
12:12:40.470;2861.045;1
12:12:40.494;2861.045;1
12:12:40.517;2859.438;1
12:12:40.540;2859.438;1
12:12:40.562;2861.292;1
12:12:40.586;2861.292;1
12:12:40.609;2861.292;1
12:12:40.633;2861.169;1
12:12:40.658;2859.315;1
