TimeStamp;Температура масла на входе в двигатель за фильтром (поз. Т607);0 - Bad, 1 - Good
12:13:01.768;23.293;1
12:13:01.791;23.293;1
12:13:01.814;23.293;1
12:13:01.837;23.293;1
12:13:01.863;23.293;1
12:13:01.883;23.293;1
12:13:01.906;23.293;1
12:13:01.930;23.293;1
12:13:01.953;23.293;1
12:13:01.977;23.293;1
12:13:01.998;23.293;1
12:13:02.021;23.293;1
12:13:02.044;23.293;1
12:13:02.070;23.293;1
12:13:02.090;23.293;1
12:13:02.113;23.293;1
12:13:02.136;23.293;1
12:13:02.159;23.293;1
12:13:02.183;23.293;1
12:13:02.207;23.293;1
12:13:02.231;23.293;1
12:13:02.252;23.293;1
12:13:02.276;23.293;1
12:13:02.297;23.293;1
12:13:02.320;23.34;1
12:13:02.343;23.34;1
12:13:02.368;23.34;1
12:13:02.389;23.34;1
12:13:02.412;23.34;1
12:13:02.435;23.34;1
12:13:02.458;23.34;1
12:13:02.481;23.34;1
12:13:02.507;23.34;1
12:13:02.530;23.34;1
12:13:02.550;23.34;1
12:13:02.575;23.34;1
12:13:02.598;23.34;1
12:13:02.619;23.34;1
12:13:02.645;23.316;1
12:13:02.667;23.316;1
12:13:02.688;23.316;1
12:13:02.711;23.316;1
12:13:02.734;23.316;1
12:13:02.760;23.316;1
12:13:02.781;23.316;1
12:13:02.803;23.316;1
12:13:02.827;23.316;1
12:13:02.849;23.316;1
12:13:02.872;23.316;1
12:13:02.895;23.316;1
12:13:02.918;23.316;1
12:13:02.944;23.27;1
12:13:02.966;23.27;1
12:13:02.987;23.27;1
12:13:03.011;23.27;1
12:13:03.034;23.27;1
12:13:03.058;23.27;1
12:13:03.082;23.27;1
12:13:03.102;23.27;1
12:13:03.126;23.27;1
12:13:03.150;23.27;1
12:13:03.173;23.27;1
12:13:03.194;23.27;1
12:13:03.220;23.27;1
12:13:03.242;23.27;1
12:13:03.264;23.177;1
12:13:03.286;23.177;1
12:13:03.309;23.177;1
12:13:03.332;23.177;1
12:13:03.356;23.177;1
12:13:03.380;23.177;1
12:13:03.404;23.177;1
12:13:03.424;23.177;1
12:13:03.449;23.177;1
12:13:03.471;23.177;1
12:13:03.494;23.177;1
12:13:03.518;23.177;1
12:13:03.541;23.177;1
12:13:03.563;23.177;1
12:13:03.585;23.316;1
12:13:03.608;23.316;1
12:13:03.631;23.316;1
12:13:03.656;23.316;1
12:13:03.677;23.316;1
12:13:03.700;23.316;1
12:13:03.723;23.316;1
12:13:03.747;23.316;1
12:13:03.769;23.316;1
12:13:03.793;23.316;1
12:13:03.815;23.316;1
12:13:03.839;23.316;1
12:13:03.862;23.316;1
12:13:03.886;23.316;1
12:13:03.910;23.316;1
12:13:03.930;23.27;1
12:13:03.955;23.27;1
12:13:03.976;23.27;1
12:13:03.999;23.27;1
12:13:04.022;23.27;1
12:13:04.045;23.27;1
12:13:04.068;23.27;1
12:13:04.092;23.27;1
12:13:04.114;23.27;1
12:13:04.137;23.27;1
12:13:04.160;23.27;1
12:13:04.184;23.27;1
12:13:04.208;23.27;1
12:13:04.229;23.2;1
12:13:04.252;23.2;1
12:13:04.275;23.2;1
12:13:04.298;23.2;1
12:13:04.321;23.2;1
12:13:04.344;23.2;1
12:13:04.367;23.2;1
12:13:04.390;23.2;1
12:13:04.413;23.2;1
12:13:04.436;23.2;1
12:13:04.459;23.2;1
12:13:04.482;23.2;1
12:13:04.505;23.2;1
12:13:04.529;23.2;1
12:13:04.551;23.293;1
12:13:04.574;23.293;1
12:13:04.598;23.293;1
12:13:04.620;23.293;1
12:13:04.643;23.293;1
12:13:04.666;23.293;1
12:13:04.689;23.293;1
12:13:04.712;23.293;1
12:13:04.735;23.293;1
12:13:04.759;23.293;1
12:13:04.785;23.293;1
12:13:04.804;23.293;1
12:13:04.828;23.293;1
12:13:04.853;23.293;1
12:13:04.873;23.27;1
12:13:04.897;23.27;1
12:13:04.920;23.27;1
12:13:04.942;23.27;1
12:13:04.965;23.27;1
12:13:04.989;23.27;1
12:13:05.011;23.27;1
12:13:05.034;23.27;1
12:13:05.057;23.27;1
12:13:05.082;23.27;1
12:13:05.105;23.27;1
12:13:05.127;23.27;1
12:13:05.150;23.27;1
12:13:05.173;23.27;1
12:13:05.196;23.177;1
12:13:05.218;23.177;1
12:13:05.241;23.177;1
12:13:05.265;23.177;1
