TimeStamp;Положение КПВ (поз. A3);0 - Bad, 1 - Good
12:10:21.803;8.331;1
12:10:21.829;8.305;1
12:10:21.850;8.381;1
12:10:21.873;8.409;1
12:10:21.896;8.398;1
12:10:21.920;8.398;1
12:10:21.942;8.398;1
12:10:21.964;8.485;1
12:10:21.988;8.491;1
12:10:22.012;8.485;1
12:10:22.034;8.381;0
12:10:22.057;8.381;1
12:10:22.083;8.381;1
12:10:22.105;8.305;1
12:10:22.126;8.322;1
12:10:22.150;8.513;0
12:10:22.172;8.508;1
12:10:22.194;8.508;1
12:10:22.217;8.384;0
12:10:22.240;8.384;1
12:10:22.263;8.421;1
12:10:22.287;8.429;1
12:10:22.309;8.395;1
12:10:22.332;8.395;1
12:10:22.355;8.384;1
12:10:22.381;8.384;1
12:10:22.404;8.37;1
12:10:22.425;8.404;1
12:10:22.447;8.333;1
12:10:22.471;8.333;1
12:10:22.495;8.319;1
12:10:22.517;8.322;1
12:10:22.540;8.446;0
12:10:22.563;8.404;1
12:10:22.587;8.404;1
